   1   0.80377065E+00
   2   0.27378923E+01
   3   0.51792917E+01
   4   0.79424040E+01
   5   0.10963583E+02
   6   0.14203139E+02
   7   0.17634049E+02
   8   0.21236435E+02
   9   0.24994936E+02
  10   0.28897251E+02
  11   0.32933263E+02
  12   0.37094476E+02
  13   0.41373634E+02
  14   0.45764454E+02
  15   0.50261432E+02
  16   0.54859696E+02
  17   0.59554903E+02
  18   0.64343148E+02
  19   0.69220900E+02
  20   0.74184916E+02
  21   0.79232222E+02
  22   0.84360755E+02
  23   0.89567294E+02
  24   0.94840974E+02
  25   0.10020433E+03
  26   0.10570656E+03
  27   0.11086203E+03
  28   0.11675280E+03
  29   0.12314983E+03
  30   0.12558808E+03
  31   0.14074399E+03
  32   0.14124357E+03
  33   0.16425178E+03
  34   0.16444764E+03
  35   0.19368536E+03
  36   0.19379841E+03
  37   0.22943244E+03
  38   0.22951027E+03
  39   0.27209306E+03
  40   0.27215191E+03
  41   0.32239382E+03
  42   0.32244090E+03
  43   0.38115651E+03
  44   0.38119560E+03
  45   0.44928653E+03
  46   0.44931985E+03
  47   0.52776925E+03
  48   0.52779821E+03
  49   0.61767030E+03
  50   0.61769583E+03
  51   0.72013801E+03
  52   0.72016077E+03
  53   0.83640742E+03
  54   0.83642791E+03
  55   0.96780543E+03
  56   0.96782400E+03
  57   0.11157569E+04
  58   0.11157738E+04
  59   0.12817919E+04
  60   0.12818074E+04
  61   0.14675538E+04
  62   0.14675682E+04
  63   0.16748092E+04
  64   0.16748224E+04
  65   0.19054577E+04
  66   0.19054700E+04
  67   0.21615452E+04
  68   0.21615566E+04
  69   0.24452768E+04
  70   0.24452875E+04
  71   0.27590336E+04
  72   0.27590436E+04
  73   0.31053903E+04
  74   0.31053997E+04
  75   0.34871366E+04
  76   0.34871454E+04
  77   0.39073014E+04
  78   0.39073097E+04
  79   0.43691813E+04
  80   0.43691891E+04
  81   0.48763733E+04
  82   0.48763807E+04
  83   0.54328144E+04
  84   0.54328213E+04
  85   0.60428272E+04
  86   0.60428338E+04
  87   0.67111753E+04
  88   0.67111815E+04
  89   0.74431293E+04
  90   0.74431352E+04
  91   0.82445470E+04
  92   0.82445526E+04
  93   0.91219718E+04
  94   0.91219771E+04
  95   0.10082754E+05
  96   0.10082759E+05
  97   0.11135203E+05
  98   0.11135208E+05
  99   0.12288781E+05
 100   0.12288786E+05
 101   0.13554348E+05
 102   0.13554352E+05
 103   0.14944489E+05
 104   0.14944493E+05
 105   0.16473947E+05
 106   0.16473951E+05
 107   0.18160209E+05
 108   0.18160212E+05
 109   0.20024328E+05
 110   0.20024332E+05
 111   0.22092112E+05
 112   0.22092116E+05
 113   0.24395883E+05
 114   0.24395886E+05
 115   0.26977229E+05
 116   0.26977232E+05
 117   0.29891523E+05
 118   0.29891526E+05
 119   0.33215896E+05
 120   0.33215899E+05
 121   0.37064661E+05
 122   0.37064664E+05
 123   0.41623405E+05
 124   0.41623408E+05
 125   0.47241578E+05
 126   0.47241580E+05
 127   0.54801810E+05
 128   0.54801812E+05
