   1     1   0.10000000E+01  0.00000000E+00
   1     2   0.00000000E+00  0.00000000E+00
   1     3   0.00000000E+00  0.00000000E+00
   1     4   0.00000000E+00  0.00000000E+00
   1     5   0.00000000E+00  0.00000000E+00
   1     6   0.00000000E+00  0.00000000E+00
   1     7   0.00000000E+00  0.00000000E+00
   1     8   0.00000000E+00  0.00000000E+00
   1     9   0.00000000E+00  0.00000000E+00
   1    10   0.00000000E+00  0.00000000E+00
   2     1   0.99938901E+00  0.00000000E+00
   2     2   0.61042830E-03  0.00000000E+00
   2     3   0.55669793E-06  0.00000000E+00
   2     4   0.84150732E-09  0.00000000E+00
   2     5   0.17674154E-11  0.00000000E+00
   2     6   0.50039500E-14  0.00000000E+00
   2     7   0.00000000E+00  0.00000000E+00
   2     8   0.00000000E+00  0.00000000E+00
   2     9   0.00000000E+00  0.00000000E+00
   2    10   0.00000000E+00  0.00000000E+00
   3     1   0.99756095E+00  0.00000000E+00
   3     2   0.24346079E-02  0.00000000E+00
   3     3   0.44331517E-05  0.00000000E+00
   3     4   0.10029816E-07  0.00000000E+00
   3     5   0.28036077E-10  0.00000000E+00
   3     6   0.94120307E-13  0.00000000E+00
   3     7   0.34472147E-15  0.00000000E+00
   3     8   0.10854355E-17  0.00000000E+00
   3     9   0.37430244E-20  0.00000000E+00
   3    10   0.13623864E-22  0.00000000E+00
   4     1   0.99452927E+00  0.00000000E+00
   4     2   0.54524944E-02  0.00000000E+00
   4     3   0.18170962E-04  0.00000000E+00
   4     4   0.60490230E-07  0.00000000E+00
   4     5   0.22350403E-09  0.00000000E+00
   4     6   0.92852932E-12  0.00000000E+00
   4     7   0.43040391E-14  0.00000000E+00
   4     8   0.20412978E-16  0.00000000E+00
   4     9   0.98604509E-19  0.00000000E+00
   4    10   0.49670357E-21  0.00000000E+00
   5     1   0.99031472E+00  0.00000000E+00
   5     2   0.96326032E-02  0.00000000E+00
   5     3   0.52424356E-04  0.00000000E+00
   5     4   0.24922182E-06  0.00000000E+00
   5     5   0.12033095E-08  0.00000000E+00
   5     6   0.61751445E-11  0.00000000E+00
   5     7   0.34131143E-13  0.00000000E+00
   5     8   0.19954215E-15  0.00000000E+00
   5     9   0.12021932E-17  0.00000000E+00
   5    10   0.75135345E-20  0.00000000E+00
   6     1   0.98494503E+00  0.00000000E+00
   6     2   0.14932553E-01  0.00000000E+00
   6     3   0.12161100E-03  0.00000000E+00
   6     4   0.79714034E-06  0.00000000E+00
   6     5   0.49540445E-08  0.00000000E+00
   6     6   0.31176802E-10  0.00000000E+00
